index,Date,Location,Operator,AC Type,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Passenger to Crew Ratio,Survival Rate,Company,Primary Cause,Specific Reason,Incident Outcome,Operator Type,Aircraft Size,Severity Score
833,1945-12-25,"Bangui, French Equatorial Africa",Air France,Lockheed 18 Lodestar,8.0,5.0,3.0,8.0,5.0,3.0,0.0,the aircraft went out of control and crashed in a wooded area located about 60 km west of bangui airport.,1.67,0.0,Lockheed Martin,Unknown,Unknown,Crashed,Commercial,Small,9.0
834,1945-12-25,"Near Dudinka, Russia",Polyarnya Aviatsiya,Douglas DC-3,10.0,6.0,4.0,10.0,6.0,4.0,0.0,crashed 50 miles northwest of norilsk after catching fire in the air.,1.5,0.0,McDonnell Douglas,Unknown,Unknown,Crashed,Commercial,Small,11.0
835,1945-12-30,"New York City, New York",Eastern Air Lines,Douglas DC-3,12.0,9.0,3.0,1.0,1.0,0.0,0.0,"the pilot, in the belief that he was encountering engine trouble, attempted a landing despite a landing approach which was too high and too fast. initial contact with the runway was made at a point which provided insufficient room for a landing roll and at an airspeed considerable in excess of normal. the pilot was unable to bring the aircraft to a stop in time to avoid overshooting the runway. the decision of the pilot in attempting a landing from an approach which was too high and too fast.",3.0,91.67,McDonnell Douglas,OPERATIONAL,Landing Related,Unknown,Commercial,Small,1.08
836,1946-01-06,"Birmingham, Alabama",Pennsylvania Central Airlines,Douglas DC-3,11.0,7.0,4.0,3.0,0.0,3.0,0.0,"in worsening weather conditions, the plane landed fast and high while making an instrument approach to birmingham, overran the runway, crashed through the barrier fence and into a creek. the action of the pilot in committing himself to a landing from an approach which was too high and too fast.",1.75,72.73,McDonnell Douglas,TECHNICAL,Instrument Failure,Crashed,Commercial,Small,3.27
838,1946-01-14,"Near Netrubezh, Russia",Aeroflot,Lisunov Li-2,22.0,17.0,5.0,22.0,17.0,5.0,0.0,experienced severe icing resulting in buffeting and structural failure.,3.4,0.0,Other,TECHNICAL,Structural Failure,Unknown,Commercial,Small,23.0
839,1946-01-15,"Marseilles, France",Military -Royal Air Force,Douglas C-47 Dakota,25.0,21.0,4.0,23.0,19.0,4.0,0.0,crashed into a mountainside in a snowstorm.,5.25,8.0,McDonnell Douglas,Unknown,Unknown,Crashed,Military,Small,23.92
840,1946-01-18,"Cheshire, Connecticut",Eastern Air Lines,Douglas DC-3-201E,17.0,14.0,3.0,17.0,14.0,3.0,0.0,"the aircraft lost control and spiraled into the ground after the no. 1 engine caught on fire and the left wing separated from the aircraft. the fire, caused by the failure of a fuel line or fuel line connection, led to failure of the left wing.",4.67,0.0,McDonnell Douglas,TECHNICAL,Fuel System Issue,Disappearance,Commercial,Small,18.0
841,1946-01-19,"Crowsnest Pass, Alberta, Canada",Mililtary - Royal Canadian Air Force,Douglas DC-3 Dakota,7.0,0.0,7.0,7.0,0.0,7.0,0.0,collided with mt. ptolemy while en route.,0.0,0.0,McDonnell Douglas,Unknown,Unknown,Collision,Military,Small,8.0
843,1946-01-31,"Mt. Elk, Wyoming",United Air Lines,Douglas DC-3-194H,21.0,18.0,3.0,21.0,18.0,3.0,0.0,"the aircraft crashed into elk mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over elk mountain. flight had originally filed for 13,000 ft.  but later amended the flight plan to 11,000 ft. elk mountain is 11,152 ft. msl.",6.0,0.0,McDonnell Douglas,Unknown,Unknown,Crashed,Commercial,Small,22.0
844,1946-02-05,"Negros, Philippines",Military - U.S. Army Air Forces,Douglas C-47,20.0,16.0,4.0,20.0,16.0,4.0,0.0,crashed into mountainous terrain while en route.,4.0,0.0,McDonnell Douglas,Unknown,Unknown,Crashed,Military,Small,21.0
845,1946-02-21,"Charlottetown, PE, Canada",British Overseas Airways,Consolidated 32-2 Liberator II,14.0,11.2,2.8,1.0,1.0,1.0,0.0,crashed while attempting to land. icing.,4.0,92.86,Consolidated,Unknown,Unknown,Crashed,Commercial,Small,1.07
846,1946-03-03,"Live Oak Springs, California",American Airlines,Douglas DC-3-227B,27.0,24.0,3.0,27.0,24.0,3.0,0.0,"while on approach to san diego, the aircraft flew into tierra blanca mountain at an altitude of 4,500 feet in fog, exploded and burned. the crew descended into instrument conditions to an altitude below that required to maintain clearance over thing mountain. the reason for the descent was not determined.",8.0,0.0,McDonnell Douglas,TECHNICAL,Instrument Failure,Explosion,Commercial,Small,28.0
847,1946-03-05,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Junkers JU-52/3m,15.0,11.0,4.0,12.0,10.0,2.0,0.0,crashed and burned while approaching ruzyne aerodome to land after experiencing engine problems.,2.75,20.0,Junkers,TECHNICAL,Engine Failure,Crashed,Commercial,Small,12.8
848,1946-03-10,"Off Hobart, Tasmania",Australian National Airways,Douglas DC-3 (C-47DL),25.0,21.0,4.0,25.0,21.0,4.0,0.0,the aircraft crashed 10 mins after takeoff from hobart. inadvertent engagement of the autopilot instead of the fuel crossfeed.,5.25,0.0,McDonnell Douglas,TECHNICAL,Fuel System Issue,Crashed,Commercial,Small,26.0
851,1946-03-19,"Hobart Mills, California",Military - U.S. Army Air Forces,Douglas C-47B,26.0,23.0,3.0,26.0,23.0,3.0,0.0,the aircraft lost its right wing and disintegrated over donner summit for reasons unknown.,7.67,0.0,McDonnell Douglas,Unknown,Unknown,Disappearance,Military,Small,27.0
852,1946-03-23,"Off Ceylon, Cocos Islands, Indian Ocean",British Overseas Airways /Qantas,Avro 691 Lancastrian 1,10.0,5.0,5.0,10.0,5.0,5.0,0.0,disappeared between ceylon and the cocos islands while en route. aircraft owned by boac and operated by both airlines on sydney-london services (boac crews operated london-karachi and qantas crews karachi-sydney).,1.0,0.0,Avro,Unknown,Unknown,Disappearance,Commercial,Small,11.0
853,1946-04-01,"near Craigavad, Northern Ireland",Railway Air Services Ltd.,de Hvilland 89A Dragon Rapide,6.0,4.0,2.0,6.0,4.0,2.0,0.0,crashed 5 miles north northeast of belfast while attempting to land in advese weather. pilot error. the pilot failed to maintain a course necessary to avoid higher terrain.,2.0,0.0,Other,WEATHER,Adverse Weather,Crashed,Commercial,Small,7.0
854,1946-04-05,"Rabat, Malta",Military - Royal British Navy,Vickers Wellington bomber,4.0,0.0,4.0,4.0,0.0,4.0,16.0,"the wellington was engaged in exercises with a spitfire fighter. the fighter was using the wellington as a dummy target and the wellington was to take evasive action. when the bomber was between 4,000 and 5,000 feet altitude, it turned to port and started diving at 20 degrees. it kept on loosing altitude till it crashed into houses in the center of rabat. no distress signal was transmitted to either the fighter pilot or ground control.  the probable cause of the accident was leakage of hydraulic fluid which somehow heated and released fumes in the cockpit rendering the crew unconcious.",0.0,0.0,Vickers,TECHNICAL,Hydraulic System Failure,Crashed,Military,Small,13.0
856,1946-04-22,"La Liberiad, Nicaragua",TACA,Lockheed 14 Super Electra,21.0,18.0,3.0,20.0,17.0,3.0,0.0,crashed on takeoff.,6.0,4.76,Lockheed Martin,OPERATIONAL,Takeoff Related,Crashed,Commercial,Small,20.95
857,1946-04-30,"Pindi-Khut ,India",Military - Royal Air Force,Douglas C-47A,12.0,9.6,2.4,12.0,9.6,2.4,0.0,broke up in midair and crashed.,4.0,0.0,McDonnell Douglas,Unknown,Unknown,Crashed,Military,Small,13.0
858,1946-05-10,"Munson, Florida",Military U.S. Navy / Military - U.S. Navy,PBY4-2 Privateer / PB4Y-2 Privateer,28.0,22.4,5.6,28.0,22.4,5.6,0.0,collided in midair while a fighter made practice diving maneuvers on the formation.,4.0,0.0,Other,Unknown,Unknown,Collision,Military,Small,29.0
859,1946-05-16,"Richmond, Virginia",Viking Air Transport,Douglas DC-3,27.0,25.0,2.0,27.0,25.0,2.0,0.0,"engine trouble after takeoff forced the crew to return to richmond. while the crew was attempting to land a second time, an engine was shut down because it was running rough. the pilot apparently shut down the wrong engine. the plane stalled and crashed to earth, nose first. inability of the crew to maintain adequate control of the aircraft to effect an emergency single-engine instrument approach under adverse weather conditions.",12.5,0.0,McDonnell Douglas,TECHNICAL,Engine Failure,Crashed,Cargo,Small,28.0
860,1946-05-22,"Oslo, Norway",DNL Norwegian Air Lines,Junkers JU-52/3m,14.0,11.0,3.0,13.0,10.0,3.0,0.0,crashed into oslo fjord shortly after takeoff. engine trouble forced the plane back but it stalled and crashed into trees and a house.,3.67,7.14,Junkers,TECHNICAL,Engine Failure,Crashed,Commercial,Small,13.93
861,1946-06-01,"Off Amalfi, Italy",Military - U.S. Army Air Forces,Douglas C-54-DO (DC-4),38.0,30.0,8.0,30.0,26.0,4.0,0.0,"a fire of undetermined origin erupted in the cockpit. the crew  was unable to control the smoke and flames, lost control and the aircraft and crashed. eight aboard parachuted to safety.",3.75,21.05,McDonnell Douglas,Unknown,Unknown,Crashed,Military,Small,30.79
862,1946-06-09,"Taboga Island, Panama",Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),23.0,17.0,6.0,23.0,17.0,6.0,0.0,crashed into a summit after flying below the prescribed altitude.,2.83,0.0,McDonnell Douglas,Unknown,Unknown,Crashed,Military,Small,24.0
863,1946-06-09,"Near Abeokuta, Nigeria",Military -Royal Air Force,Douglas C-47 Dakota,18.0,12.0,6.0,18.0,12.0,6.0,0.0,"flying low to avoid poor weather, the aircraft crashed while en route from kano to ikeja.",2.0,0.0,McDonnell Douglas,WEATHER,Adverse Weather,Crashed,Military,Small,19.0
864,1946-06-29,Off Malaya,Military - Royal Air Force,Douglas C-47B,18.0,14.4,3.6,18.0,14.4,3.6,0.0,disappeared.,4.0,0.0,McDonnell Douglas,Unknown,Unknown,Disappearance,Military,Small,19.0
865,1946-06-29,"Pau, France",Air France,Junkers Ju-52/3m,3.0,0.0,3.0,2.0,0.0,2.0,0.0,the cargo  plane struck power lines and crashed while attempting to take off.,0.0,33.33,Junkers,OPERATIONAL,Cargo Related,Crashed,Commercial,Small,2.67
866,1946-07-09,"Holyoke, Massachusetts",Military - U.S. Army Air Forces,Boeing B17G,25.0,21.0,4.0,25.0,21.0,4.0,0.0,struck a slope on mt. tom during an approach to land at westover field.,5.25,0.0,Boeing,Unknown,Unknown,Strucked,Military,Small,26.0
867,1946-07-11,"Reading, Pennsylvania",Trans Continental and Western Air,Lockheed L-049 Constellation,6.0,0.0,6.0,5.0,0.0,5.0,0.0,"the flight crashed due to an in-flight fire caused by failure of a generator lead-through stud installation in the baggage compartment causing intense heat due to electrical arching, ignition of fuselage insulation and  creation of smoke rendering the crew incapable of controlling the aircraft. the plane crashed into powerlines and trees and burst into flames. the accident led to a 30-day grounding of all l-049s. the plane was named star of lisbon. training flight.",0.0,16.67,Lockheed Martin,TECHNICAL,Electrical System Failure,Crashed,Commercial,Small,5.83
868,1946-07-13,"Tsinan, China",Central Air Transport,Curtiss C-46,49.0,47.0,2.0,13.0,11.0,2.0,0.0,the aircraft crashed 1 mile from the airfield shortly after takeoff due to engine failure.,23.5,73.47,Curtiss,TECHNICAL,Engine Failure,Crashed,Cargo,Small,13.27
869,1946-07-17,"Cuenca, Ecuador",ANDESA,Curtiss C-46D-10-CU,30.0,27.0,3.0,30.0,27.0,3.0,0.0,overshot the runway. the pilot was unable to regain altitude and the plane crashed into a hill and burst into flames.,9.0,0.0,Curtiss,OPERATIONAL,Runway Related,Crashed,Commercial,Small,31.0
870,1946-07-18,"Goodland, Kansas",Military - U.S. Army Air Corps,Douglas C-47,13.0,10.0,3.0,13.0,10.0,3.0,0.0,crashed into a field during a thunder and lightning storm.,3.33,0.0,McDonnell Douglas,WEATHER,Severe Weather,Crashed,Military,Small,14.0
871,1946-07-20,Off the Panama coast,Military -  (2) U.S. Army Air Forces,Boeing B-17G / Boeing B-17G,20.0,16.0,4.0,20.0,16.0,4.0,0.0,"the two aircraft collided in midair, 20 miles north of the panamanian island of coiba while searching for a missing plane. ten died aboard each aircraft.",4.0,0.0,Boeing,Unknown,Unknown,Collision,Military,Small,21.0
872,1946-07-25,"Bassein, Burma",Military -Royal Air Force,Douglas C-47 Dakota,22.0,18.0,4.0,22.0,18.0,4.0,0.0,crashed into a swamp soon after taking off after suffering structural failure of the left wing in adverse weather conditions.,4.5,0.0,McDonnell Douglas,TECHNICAL,Structural Failure,Crashed,Military,Small,23.0
873,1946-07-26,"Near Huatesco, Veracruz, Mexico",Communicaciones Aereos de veracruz,Fairchild Pilgrim 100A,9.0,7.2,1.8,9.0,7.2,1.8,0.0,"returned to the airport after suffering engine failure, the plane crashed 40 miles southeast of jalapa.",4.0,0.0,Fairchild Aircraft,TECHNICAL,Engine Failure,Crashed,Commercial,Small,10.0
874,1946-08-07,"Oslo, Norway",British European Airways,Douglas C-47A-10-DK,16.0,11.0,5.0,3.0,0.0,3.0,0.0,"flew into trees on mistberget mountain at 2,000ft. while on approach to oslo. pilot error. descended too early.  inexperience in radio range flying and inadequate equipment.",2.2,81.25,McDonnell Douglas,HUMAN_FACTOR,Pilot Error,Unknown,Commercial,Small,3.19
875,1946-08-09,"Lakehurst, New Jersey",Atlantic Central Airlines,Lockheed 18-56 Lodestar,6.0,4.0,2.0,4.0,2.0,2.0,0.0,crashed and burned while attempting to glide in for an emergency landing at lakhurst field.,2.0,33.33,Lockheed Martin,OPERATIONAL,Landing Related,Crashed,Commercial,Small,4.67
876,1946-08-14,"Malta-Luqa, Malta",BOAC,Douglas C-47A,5.0,0.0,5.0,1.0,0.0,1.0,0.0,"the port engine and, later, the starboard engine failed as the result of fuel starvation. circumstantial evidence suggests strongly that this was caused by the inadvertent selection of the auxiliary fuel tanks which at that time contained only a small amount of fuel.",0.0,80.0,McDonnell Douglas,TECHNICAL,Fuel System Issue,Unknown,Commercial,Small,1.2
877,1946-08-20,"Rouen, France",British Overseas Airways,Avro 691 Lancastrian 1,9.0,0.0,9.0,8.0,0.0,8.0,0.0,descended through clouds and crashed. premature descent by the crew without establishing their position.  training flight.,0.0,11.11,Avro,HUMAN_FACTOR,Training Related,Crashed,Commercial,Small,8.89
878,1946-08-21,"Moline, Illinois",Trans Luxury Airlines,Douglas C-47-DL,25.0,22.0,3.0,2.0,0.0,2.0,0.0,"while the aircraft was flying near moline, the no. 1 engine failed. the prop was feathered and a descent initiated for an emergency landing.the aircraft overshot the landing and a  go-around was executed. a left turn was made with the gear and flaps extended. the left wing touched the ground and the aircraft cartwheeled. the engine failure was caused by a no. 5 cylinder fracture.",7.33,92.0,McDonnell Douglas,TECHNICAL,Engine Failure,Emergency Landing,Commercial,Small,2.08
879,1946-08-24,"Cairo, Egypt",Misrair,Avro Anson,9.0,7.2,1.8,6.0,6.0,1.8,0.0,crashed and caught fire.,4.0,33.33,Avro,Unknown,Unknown,Crashed,Commercial,Small,6.67
880,1946-08-31,"Near Prince Rupert, British Columbia, Canada",Queen Charlotte Airlines,Supermarine Stranraer (flying boat),7.0,3.0,4.0,7.0,3.0,4.0,0.0,crashed in chatham sound while preparing to land in heavy fog.,0.75,0.0,Other,WEATHER,Poor Visibility (Fog),Crashed,Commercial,Small,8.0
881,1946-09-03,"Holtug, Denmark",Air France,Douglas DC-3 (C-53D-DO),22.0,17.0,5.0,22.0,17.0,5.0,0.0,"shortly after takeoff, the aircraft crashed into a field 40 miles south of copenhagen, exploding and bursting into flames. one of the engines had caught fire prior to the crash resulting from a fuel leak.",3.4,0.0,McDonnell Douglas,TECHNICAL,Fuel System Issue,Crashed,Commercial,Small,23.0
882,1946-09-04,"Le Bourget, France",Air France,Douglas DC-3,26.0,21.0,5.0,20.0,18.0,2.0,1.0,lost altitude after losing an engine on takeoff  and crashed into a factory yard.,4.2,23.08,McDonnell Douglas,TECHNICAL,Engine Failure,Crashed,Commercial,Small,21.27
883,1946-09-05,"Elko, Nevada",Trans-Luxury Airlines,Douglas DC-3 (C-47-A5-DL),22.0,19.0,3.0,21.0,18.0,3.0,0.0,the aircraft lost contact with the ground in fog and crashed into a hillside while attempting to land at elko airport. a two-year-old boy was the only survivor. the pilot continued the approach after losing visual contact with the airport due to fog. unfamiliarity of the pilot with the terrain. insufficent fuel aboard to proceed to an alternate landing site.,6.33,4.55,McDonnell Douglas,WEATHER,Poor Visibility (Fog),Crashed,Commercial,Small,21.95
884,1946-09-07,"Bathurst, Gambia",British South American Airways,Avro 685 York I,24.0,20.0,4.0,24.0,20.0,4.0,0.0,"the aircraft crashed shortly after takeoff after a loss of control by  the captain.  loss of control by the captain for unknown reasons with mishandling of the controls the most likely explanation. the aircraft was named ""star leader.""",5.0,0.0,Avro,OPERATIONAL,Takeoff Related,Crashed,Commercial,Small,25.0
885,1946-09-07,"Nome, Alaska",Mt. McKinley Airfreight,Douglas C-47A,4.0,2.0,2.0,4.0,2.0,2.0,0.0,the cargo plane went off course and struck a fog covered mountain as it circled to land.,1.0,0.0,McDonnell Douglas,WEATHER,Poor Visibility (Fog),Strucked,Commercial,Small,5.0
886,1946-09-15,"Estevan, Saskatchewan, Canada",Military - Royal Canadian Air Force,Douglas C-47A Dakota,21.0,16.8,4.2,21.0,16.8,4.2,0.0,the pilot lost control of the aircraft after attempting a go-around maneuver.,4.0,0.0,McDonnell Douglas,Unknown,Unknown,Disappearance,Military,Small,22.0
887,1946-09-17,"Brussels, Belgium",Sabena,Douglas C-47-DL,7.0,4.0,3.0,1.0,0.0,1.0,0.0,during its climb the plane rolled and crashed into hangers. loss of airspeed for undetermined reasons.,1.33,85.71,McDonnell Douglas,Unknown,Unknown,Crashed,Commercial,Small,1.14
888,1946-09-18,"Near Gander, Newfoundland",Sabena,Douglas DC-4-1009,44.0,37.0,7.0,27.0,21.0,6.0,0.0,the aircraft crashed 24 mi sw of the runway at gander. improper approach procedures by the pilot in poor weather.,5.29,38.64,McDonnell Douglas,WEATHER,Adverse Weather,Crashed,Commercial,Small,27.61
889,1946-09-19,"Near Tripoli, Libya",Military -Royal Air Force,Avro Lancaster,25.0,19.0,6.0,25.0,19.0,6.0,0.0,crashed after possibly being hit by lightning.,3.17,0.0,Avro,WEATHER,Lightning Strike,Crashed,Military,Small,26.0
890,1946-09-20,"Lochi Mountain, China",China National Aviation Corporation,Curtiss Wright C-46,28.0,25.0,3.0,28.0,25.0,3.0,0.0,"crashed into a 15,000 ft. mountain shortly after taking off from sichang.",8.33,0.0,Curtiss,Unknown,Unknown,Crashed,Commercial,Small,29.0
891,1946-09-25,Near Hong Kong International Airport,Military - Royal Air Force,Douglas C-47B-25-DK,19.0,14.0,5.0,19.0,14.0,5.0,0.0,"the aircraft departed hong kong, runway 31, climbing to a height of 700-800 feet. at that point the airplane lost control and crashed. the dakota possibly stalled after encountering turbulence from the foothills.",2.8,0.0,McDonnell Douglas,OPERATIONAL,Runway Related,Crashed,Military,Small,20.0
892,1946-09-27,"Near Milngavie, Stirlingshire, Scotland",Railway Air Service Ltd.,de Havilland 89A Dragon Rapide,7.0,5.0,2.0,7.0,5.0,2.0,0.0,crashed into a hill in low overcast weather. navigation error.,2.5,0.0,de Havilland Canada,WEATHER,Adverse Weather,Crashed,Commercial,Small,8.0
893,1946-09-27,"Rio Doce, Brazil",Panair do Brasil,Douglas DC-3A-228D,25.0,22.0,3.0,25.0,22.0,3.0,0.0,crashed into a mountainside north of rio de janerio after being possibly struck by lightning.,7.33,0.0,McDonnell Douglas,WEATHER,Lightning Strike,Crashed,Commercial,Small,26.0
894,1946-10-03,"Stephenville, Newfoundland",American Overseas Airlines,Douglas C-54E-5-DO,39.0,31.0,8.0,39.0,31.0,8.0,0.0,"took off from gander and flew in a straight line into a mountain ridge 71 miles from the airport. the aircraft was named ""flagship new england.""  it can be concluded that the captain was not alert to the procedure necessary for a safe climb from the runway. the action of the pilot in maintaining the direction of take-off toward higher terrain over which adequate clearance could not be gained.",3.88,0.0,McDonnell Douglas,HUMAN_FACTOR,Procedural Error,Unknown,Commercial,Small,40.0
895,1946-10-06,"Off Penang, Malaya",Military -Royal Air Force,Avro 685 York 1,21.0,15.0,6.0,21.0,15.0,6.0,0.0,crashed in the strait of malacca while en route.,2.5,0.0,Avro,Unknown,Unknown,Crashed,Military,Small,22.0
896,1946-10-07,"Apeldoorn, The Netherlands",Military - Royal Netherlands Naval Air Service,Fairey Firefly MK1,1.0,0.0,1.0,1.0,0.0,1.0,22.0,the pilot of the single engine fighter made an unauthorized flight to apeldoorn and began flying low to attract attention. the aircraft lost altitude during a maneuver and crashed into a high school killing 22 on the ground.,0.0,0.0,Other,TECHNICAL,Engine Failure,Crashed,Military,Small,13.0
897,1946-10-08,"Cheyenne, Wyoming",United Air Lines,Douglas DC-4,41.0,37.0,4.0,2.0,2.0,0.0,0.0,"after two landing attempts, the pilot tried to land on a different runway.  the wing struck the ground and the plane skidded 800 ft.  a loss of altitude during a turn preparatory to a final approach while the pilot was manoeuvring in an attempt to land. the aircraft was named ""mainliner lake michigan.""",9.25,95.12,McDonnell Douglas,OPERATIONAL,Runway Related,Strucked,Commercial,Small,2.05
898,1946-10-10,"Near Sefrou, Morocco",Air Ocean,Junkers Ju-52/3m,16.0,11.0,5.0,16.0,11.0,5.0,0.0,crashed into a mountain while en route. navigation error.,2.2,0.0,Junkers,HUMAN_FACTOR,Navigation Error,Crashed,Commercial,Small,17.0
899,1946-10-17,"Laramie, Wyoming",National Air Transport Services,Douglas DC-3,13.0,10.0,3.0,13.0,10.0,3.0,0.0,crashed during a snowstorm into prairie lands while attempting to land at laramie.  weather conditions were deteriorating rapidly and worse than predicted. the action of the pilot in maneuvering the aircraft at a dangerously low altitude under extremely adverse weather conditions in an attempt to land.  a contributing factor was the negligence of the pilot in planning a flight into an area in which adverse weather conditions were forecast without making adequate provisions for a suitable alternate airport.,3.33,0.0,McDonnell Douglas,WEATHER,Adverse Weather,Crashed,Cargo,Small,14.0
900,1946-10-17,"Near Chitral, India",Military - Royal Air Force,Douglas C-47B,11.0,8.8,2.2,11.0,8.8,2.2,0.0,"struck an 11,000 ft. mountain.",4.0,0.0,McDonnell Douglas,Unknown,Unknown,Strucked,Military,Small,12.0
901,1946-10-23,"Gebel Kalamoun, Egypt",Socotra,Junkers JU-52/3m,24.0,22.0,2.0,1.0,1.0,0.0,0.0,the plane crashed into a hill after attempting to make a forced landing after running out of fuel.,11.0,95.83,Junkers,TECHNICAL,Fuel System Issue,Crashed,Commercial,Small,1.04
902,1946-11-01,"St Leger-la-Montagne, France",CTA Languedoc Roussillon,AAC-1 Toucan,27.0,24.0,3.0,23.0,20.0,3.0,0.0,crashed into mountains while en route. the pilot descended to lower altitiude to rid the plane of ice.,8.0,14.81,Other,WEATHER,Icing Conditions,Crashed,Commercial,Small,23.85
903,1946-11-05,"Near Moscow, Russia",Aeroflot,Douglas C-47,26.0,20.8,5.2,13.0,13.0,5.2,0.0,stalled after a overshoot  in heavy fog. crew error.,4.0,50.0,McDonnell Douglas,WEATHER,Poor Visibility (Fog),Unknown,Commercial,Small,13.5
904,1946-11-11,"Cleveland, Ohio",United Air Lines,Douglas DC-3 (C-53D-DO),20.0,17.0,3.0,2.0,0.0,2.0,0.0,struck power lines and trees and crashed 500 feet short of the runway. the error of the pilot in establishing an approach toward an area not cleared for landing as a result of having mistaken the end markers of runway 23 for those of runway 31. a contributing factor was the failure of the pilot to abandon his attempt to land at cleveland airport when confronted with weather conditions below the minimums prescribed for that airport.,5.67,90.0,McDonnell Douglas,OPERATIONAL,Runway Related,Crashed,Commercial,Small,2.1
905,1946-11-13,"Lebec, California",Western Airlines,Douglas C-53D-DO (DC-3),11.0,8.0,3.0,11.0,8.0,3.0,0.0,"the aircraft crashed into white mountain at an elevation of  6,000 feet, in rain and 70 mph winds after being blown off course while on a heading from palmdale to newhall. possible downdraft. the action of the pilot in making an instrument letdown without previously establishing a positive radio fix. this action was aggravated by conditions of severe static, wind in excess of anticipated velocities, preoccupation with an unusual amount of radio conversation, and the inoperative newhall radio range.",2.67,0.0,McDonnell Douglas,TECHNICAL,Instrument Failure,Crashed,Commercial,Small,12.0
906,1946-11-13,"Near Cofre de Perote, Mexico",Empressa Commun. Aéreas de Veracruz,Douglas DC-3,15.0,12.0,3.0,15.0,12.0,3.0,0.0,"crashed into an 11,000 ft. mountain obscured by clouds.",4.0,0.0,McDonnell Douglas,Unknown,Unknown,Crashed,Commercial,Small,16.0
907,1946-11-14,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Douglas C-47A-90 DL (DC-3),26.0,21.0,5.0,26.0,21.0,5.0,0.0,"the flight crashed during a third landing attempt in inclement weather. the pilot, not lined up with the runway, made a sharp left turn. the wing hit the ground and the aircraft exploded in flames.",4.2,0.0,McDonnell Douglas,WEATHER,Adverse Weather,Crashed,Commercial,Small,27.0
908,1946-11-16,North Pacific Ocean,Military - U.S. Army Air Forces,Douglas C-47,23.0,15.0,8.0,23.0,15.0,8.0,0.0,"made a 360 degree turn and dove into the sea, 15 miles off iwo jima .",1.88,0.0,McDonnell Douglas,Unknown,Unknown,Unknown,Military,Small,24.0
909,1946-11-26,"San Jose, Costa Rica",Lineas Aéreas Costarricenses  LACSA,Douglas DC-3 (C-47A-90-DL),22.0,20.0,2.0,22.0,20.0,2.0,0.0,struck cedrel mountain while making an approach to san jose.,10.0,0.0,McDonnell Douglas,Unknown,Unknown,Strucked,Commercial,Small,23.0
910,1946-11-30,"El Palomar, Argentina",Fuerza Aérea Argentina,Vickers 620 Viking 1,18.0,15.0,3.0,5.0,2.0,3.0,0.0,"following engine failure, the captain lost control and crashed while trying to land.",5.0,72.22,Vickers,TECHNICAL,Engine Failure,Crashed,Commercial,Small,5.28
911,1946-12-04,"Meshed, Iran",Aeroflot,Lisunov Li-2,24.0,19.2,4.8,24.0,19.2,4.8,0.0,crashed shortly after takeoff from meshed airport.,4.0,0.0,Other,OPERATIONAL,Takeoff Related,Crashed,Commercial,Small,25.0
912,1946-12-10,"Near Osaka, Japan",Military - U.S. Army Air Forces,Curtiss-Wright C-46F-CU,24.0,19.0,5.0,24.0,19.0,5.0,0.0,crashed 3 miles southwest of itami air base shortly after taking off.  loss of engine power for reasons unknown.,3.8,0.0,Curtiss,TECHNICAL,Engine Failure,Crashed,Military,Small,25.0
913,1946-12-10,"Toledo, Washington",Military - U.S. Marine Corps,Curtiss-Wright R5C-1,32.0,29.0,3.0,32.0,29.0,3.0,0.0,"the crew reported picking up ice before disappearing without a trace while en route. the last reported positon was 30 miles south of toledo, washington. found 11 months later at mt. rainer.",9.67,0.0,Curtiss,WEATHER,Icing Conditions,Unknown,Military,Small,33.0
914,1946-12-14,"Mt. Banahaur, Philippines",Far Eastern Air Transport,Douglas DC-3 (C-47-B-1-DK),14.0,10.0,4.0,12.0,9.0,3.0,0.0,crashed into tree tops on mt. banahaur. the pilot and 1 passenger survived.,2.5,14.29,McDonnell Douglas,Unknown,Unknown,Crashed,Cargo,Small,12.86
915,1946-12-17,"Caribbean, Atlantic Ocean",Winged Cargo Inc.,Douglas C-47A,7.0,5.0,2.0,7.0,5.0,2.0,0.0,disappeared en route. never found.,2.5,0.0,McDonnell Douglas,Unknown,Unknown,Disappearance,Cargo,Small,8.0
916,1946-12-23,"Near Rio de Janeiro, Brazil",FAMA (Argentina),Avro  685 York I,21.0,15.0,6.0,21.0,15.0,6.0,0.0,"poor weather at the destination airport forced the crew to divert to rio de janeiro. while approaching to land the aircraft flew into a mountain, 14 miles from the airport.",2.5,0.0,Avro,WEATHER,Adverse Weather,Unknown,Commercial,Small,22.0
917,1946-12-24,"Near San Diego, California",Western Airlines,Douglas DC-3 ( C-53D-DO),12.0,9.0,3.0,12.0,9.0,3.0,0.0,"crashed east slope of cuyapaipe mountain at 6,120 ft. in san diego county in poor weather conditions. the conduct of the flight at an altitude which would not clear obstructions, due to an error by the pilot in determining his position with respect to laguna mountain.",3.0,0.0,McDonnell Douglas,WEATHER,Adverse Weather,Crashed,Commercial,Small,13.0
